-2, 1
-1, 1
 2, 3
 3, 4
 4, 6
 5, 2
 6, 5
 7, 3
 8, 9
 9, 9
10, 13
11, 13
12, 8
13, 6
14, 9
15, 1
16, 2
17, 2
18, 3
